id,date,transaction
1,03/01,-82.72
2,08/02,-120.11
3,08/26,-105.67
4,09/29,192.35
5,05/05,-113.55
6,04/17,166.52
7,04/10,-179.6
8,03/06,-121.72
9,06/30,-56.85
10,10/02,-28.71
11,02/27,-43.09
12,05/31,261.02
13,03/26,-107.23
14,04/07,-127.16
15,10/18,102.9
16,08/22,267.76
17,10/15,-36.73
18,09/11,-243.86
19,05/28,72.91
20,06/17,-17.9
21,09/18,203.19
22,07/28,-18.29
23,06/29,124.93
24,09/06,25.45
25,04/04,174.7
26,12/17,-206.64
27,03/28,-18.07
28,12/18,-217.66
29,07/23,-147.38
30,08/08,-222.35
31,10/23,-186.26
32,11/19,-34.45
33,12/08,-94.29
34,04/16,-273.34
35,10/11,-185.29
36,10/29,271.9
37,07/22,144.82
38,03/04,-208.18
39,11/08,-275.7
40,05/31,-245.7
41,08/25,33.97
42,05/25,69.7
43,10/30,-169.23
44,08/27,-189.52
45,04/17,177.43
46,10/31,268.91
47,08/27,227.83
48,07/28,143.13
49,05/10,139.1
50,03/07,187.36
